extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
1510,16.7613,0.191535,577.387,4.41536
1511,16.7962,0.187831,577.615,4.3288
1512,16.8315,0.185291,577.836,4.26934
1513,16.867,0.183925,578.052,4.23716
1514,16.9027,0.183752,578.267,4.23263
1515,16.9384,0.184801,578.482,4.25639
1516,16.9739,0.187117,578.701,4.30952
1517,17.0092,0.190772,578.928,4.39373
1518,17.0441,0.195875,579.165,4.51162
1519,17.0784,0.202583,579.417,4.66707
1520,17.1119,0.211128,579.688,4.86575
1521,17.1443,0.221843,579.986,5.11582
1522,17.1753,0.235198,580.317,5.4288
1523,17.2044,0.251842,580.694,5.82059
1524,17.2309,0.272652,581.132,6.31257
1525,17.2539,0.298764,581.653,6.93223
1526,17.272,0.331563,582.288,7.71295
1527,17.2833,0.372603,583.083,8.69184
1528,17.2852,0.42337,584.102,9.90406
1529,17.2737,0.484823,585.434,11.372
1530,17.2441,0.556633,587.193,13.0871
1531,17.1909,0.636105,589.509,14.9847
1532,17.109,0.717057,592.501,16.9175
1533,16.9961,0.7894,596.224,18.6464
1534,16.8556,0.84062,600.596,19.875
1535,16.6981,0.859733,605.364,20.344
1536,16.5398,0.842196,610.146,19.9468
1537,16.397,0.792302,614.556,18.7863
1538,16.2808,0.721053,618.335,17.1237
1539,16.1948,0.641333,621.397,15.2644
1540,16.1367,0.563834,623.796,13.4616
1541,16.1016,0.495426,625.653,11.8775
1542,16.0835,0.439435,627.105,10.59
1543,16.0775,0.39665,628.274,9.61642
1544,16.0796,0.36632,629.253,8.93736
1545,16.0866,0.346878,630.116,8.51423
1546,16.0966,0.336449,630.913,8.30158
1547,16.1077,0.333162,631.684,8.25477
1548,16.1189,0.33533,632.456,8.33397
1549,16.1293,0.341514,633.25,8.50531
1550,16.1382,0.350496,634.083,8.7402
1551,16.1451,0.361232,634.965,9.0139
1552,16.1498,0.372792,635.904,9.30422
1553,16.152,0.384322,636.904,9.59055
1554,16.1518,0.39502,637.963,9.85348
1555,16.1494,0.404148,639.076,10.0751
1556,16.1451,0.411052,640.234,10.2394
1557,16.1395,0.415199,641.423,10.3338
1558,16.1333,0.416216,642.625,10.3492
1559,16.1272,0.413915,643.822,10.2815
1560,16.122,0.408311,644.995,10.1315
1561,16.1184,0.399605,646.126,9.90456
1562,16.117,0.388158,647.2,9.61005
