extension (nm),average force (pN),sd force (pN),average bp unzipped, sd bp unzipped
5328,18.0466,0.0265226,4448.52,1.781
5329,18.0616,0.0262707,4448.54,1.762
5330,18.0766,0.0260228,4448.55,1.74331
5331,18.0916,0.025779,4448.56,1.72492
5332,18.1066,0.025539,4448.58,1.70685
5333,18.1216,0.0253029,4448.59,1.68907
5334,18.1367,0.0250706,4448.6,1.67158
5335,18.1517,0.0248421,4448.62,1.65438
5336,18.1668,0.0246173,4448.63,1.63748
5337,18.1819,0.0243962,4448.64,1.62085
5338,18.1971,0.0241787,4448.65,1.6045
5339,18.2122,0.0239648,4448.67,1.58843
5340,18.2274,0.0237544,4448.68,1.57262
5341,18.2426,0.0235475,4448.69,1.55708
5342,18.2578,0.023344,4448.7,1.54181
5343,18.273,0.0231439,4448.71,1.52679
5344,18.2882,0.0229472,4448.72,1.51203
5345,18.3035,0.0227538,4448.73,1.49751
5346,18.3188,0.0225637,4448.74,1.48325
5347,18.3341,0.0223768,4448.75,1.46923
5348,18.3494,0.0221931,4448.76,1.45545
5349,18.3647,0.0220125,4448.77,1.44191
5350,18.3801,0.021835,4448.78,1.4286
5351,18.3955,0.0216605,4448.79,1.41551
5352,18.4109,0.0214891,4448.8,1.40266
5353,18.4263,0.0213207,4448.81,1.39003
5354,18.4417,0.0211552,4448.82,1.37762
5355,18.4571,0.0209925,4448.83,1.36542
5356,18.4726,0.0208328,4448.84,1.35343
5357,18.4881,0.0206758,4448.85,1.34166
5358,18.5036,0.0205216,4448.85,1.33009
5359,18.5191,0.0203702,4448.86,1.31872
5360,18.5346,0.0202214,4448.87,1.30756
5361,18.5502,0.0200753,4448.88,1.29659
5362,18.5658,0.0199319,4448.89,1.28581
5363,18.5813,0.0197909,4448.89,1.27522
5364,18.597,0.0196526,4448.9,1.26482
5365,18.6126,0.0195167,4448.91,1.25461
5366,18.6282,0.0193833,4448.92,1.24457
5367,18.6439,0.0192523,4448.92,1.23471
5368,18.6596,0.0191237,4448.93,1.22503
5369,18.6753,0.0189975,4448.94,1.21552
5370,18.691,0.0188735,4448.95,1.20617
5371,18.7067,0.0187519,4448.95,1.197
5372,18.7224,0.0186325,4448.96,1.18798
5373,18.7382,0.0185152,4448.97,1.17913
5374,18.754,0.0184002,4448.97,1.17043
5375,18.7698,0.0182873,4448.98,1.16189
5376,18.7856,0.0181764,4448.99,1.1535
5377,18.8015,0.0180677,4448.99,1.14526
5378,18.8173,0.0179609,4449,1.13716
5379,18.8332,0.0178562,4449.01,1.12921
5380,18.8491,0.0177534,4449.01,1.1214
5381,18.865,0.0176525,4449.02,1.11372
5382,18.8809,0.0175535,4449.02,1.10619
5383,18.8968,0.0174564,4449.03,1.09878
5384,18.9128,0.0173611,4449.04,1.09151
5385,18.9288,0.0172676,4449.04,1.08436
5386,18.9448,0.0171758,4449.05,1.07734
5387,18.9608,0.0170858,4449.05,1.07045
5388,18.9768,0.0169974,4449.06,1.06367
5389,18.9928,0.0169107,4449.06,1.05701
5390,19.0089,0.0168257,4449.07,1.05047
5391,19.025,0.0167422,4449.07,1.04404
5392,19.0411,0.0166603,4449.08,1.03773
5393,19.0572,0.01658,4449.08,1.03152
5394,19.0733,0.0165011,4449.09,1.02542
5395,19.0895,0.0164238,4449.1,1.01943
5396,19.1056,0.0163478,4449.1,1.01353
5397,19.1218,0.0162734,4449.11,1.00774
5398,19.138,0.0162003,4449.11,1.00205
5399,19.1542,0.0161285,4449.12,0.996452
5400,19.1705,0.0160581,4449.12,0.99095
5401,19.1867,0.015989,4449.13,0.98554
5402,19.203,0.0159212,4449.13,0.980221
5403,19.2193,0.0158547,4449.13,0.974991
5404,19.2356,0.0157894,4449.14,0.969847
5405,19.2519,0.0157252,4449.14,0.964788
5406,19.2682,0.0156623,4449.15,0.959812
5407,19.2846,0.0156005,4449.15,0.954917
5408,19.301,0.0155399,4449.16,0.950102
5409,19.3173,0.0154804,4449.16,0.945364
5410,19.3338,0.0154219,4449.17,0.940703
5411,19.3502,0.0153645,4449.17,0.936116
5412,19.3666,0.0153081,4449.18,0.931601
5413,19.3831,0.0152528,4449.18,0.927158
5414,19.3995,0.0151984,4449.18,0.922784
5415,19.416,0.0151451,4449.19,0.918478
5416,19.4325,0.0150926,4449.19,0.914239
5417,19.4491,0.0150411,4449.2,0.910064
5418,19.4656,0.0149905,4449.2,0.905953
5419,19.4822,0.0149408,4449.21,0.901904
5420,19.4988,0.0148919,4449.21,0.897916
5421,19.5153,0.0148439,4449.21,0.893987
5422,19.532,0.0147967,4449.22,0.890116
5423,19.5486,0.0147504,4449.22,0.886301
5424,19.5652,0.0147048,4449.23,0.882542
5425,19.5819,0.01466,4449.23,0.878836
5426,19.5986,0.0146159,4449.23,0.875184
5427,19.6153,0.0145726,4449.24,0.871582
5428,19.632,0.01453,4449.24,0.868031
5429,19.6487,0.014488,4449.25,0.86453
5430,19.6655,0.0144468,4449.25,0.861076
5431,19.6822,0.0144062,4449.25,0.857669
5432,19.699,0.0143663,4449.26,0.854308
5433,19.7158,0.0143271,4449.26,0.850992
5434,19.7326,0.0142884,4449.26,0.847719
5435,19.7495,0.0142504,4449.27,0.844489
5436,19.7663,0.0142129,4449.27,0.8413
